Headlines,Time,Description
Cramer's lightning round: Peloton is the 'ultimate stay-at-home stock'," 7:39  PM ET Tue, 31 March 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Macy's to be replaced on S&P 500 by Carrier Global," 7:28  PM ET Tue, 31 March 2020","Macy's is being removed from the S&P 500 Index and replaced by air conditioning company Carrier Global, according to S&P Dow Jones Indices, which oversees the index."
"Jim Cramer reveals second-quarter playbook, says the quarter is 'going to be so ugly'"," 7:15  PM ET Tue, 31 March 2020","The ""Mad Money"" host said investors should ""stick with the staples, the utilities and the stay-at-home tech stocks."
"Palo Alto CEO forgoes salary, commits to 'no COVID-19 layoffs' during pandemic"," 8:35  PM ET Tue, 31 March 2020","""I think we will come out of this strong both as an economy and as a company,"" Palo Alto CEO Nikesh Arora said in a ""Mad Money"" interview."
Abbott Labs CEO on new coronavirus test launches: 'There's a need for more'," 8:31  PM ET Mon, 30 March 2020","Abbott Labs teams are working around the clock to ramp up COVID-19 tests and to develop more diagnosis products, outgoing CEO Miles White said."
,,
Cramer's lightning round: 'You do want to buy defense stocks right here'," 7:30  PM ET Mon, 30 March 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
"Microsoft 'might be the best tech stock in this market,' Jim Cramer says"," 7:16  PM ET Mon, 30 March 2020","Demand for cloud computing services has spiked during the coronavirus outbreak and Microsoft has been a ""huge beneficiary from the lockdowns,"" the ""Mad Money"" host said."
Cramer: Science can stop the economy from tumbling into a 'coronavirus-induced depression'," 7:04  PM ET Mon, 30 March 2020","""We need a cure or a vaccine, and in the last 24 hours we've gotten some serious go-aheads when it comes to potential treatments,"" ""Mad Money"" host Jim Cramer said."
Hospital supplier Owens & Minor is expanding capacity to meet personal protective equipment demands," 8:53  PM ET Fri, 27 March 2020","Since ramping up personal protective equipment production in January, Owens & Minor CEO Ed Pesicka said it will take ""5 to 6 months to make sure"" they can stretch operations further."
Cramer's lightning round: 'I like Lockheed Martin very much'," 6:55  PM ET Fri, 27 March 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Developing a vaccine takes 10 years. Sanofi seeks to do so within 18 months," 8:22  PM ET Fri, 27 March 2020","""I can assure you ... we're doing everything we can to be there as fast as we can,"" said Paul Hudson, CEO of the French pharmaceutical giant Sanofi."
,,
Cramer's week ahead: 'Lately I've been feeling a bit more optimistic'," 6:27  PM ET Fri, 27 March 2020","If coronavirus responses fail to continually progress, ""I think the market will revisit its lows from earlier this week,"" CNBC's Jim Cramer said."
Veeva Systems sees product usage increase tenfold as biotech companies race to find COVID-19 cure,"10:23  AM ET Fri, 27 March 2020",Veeva Systems CEO Peter Gassner said its remote meeting application has been made free to help keep doctors and pharma companies connected during coronavirus.
Cramer's lightning round: Buy Marvell Tech because '5G is king'," 8:22  PM ET Thu, 26 March 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
"Micron's surprise quarter means a windfall could be in store for AMD and Nvidia, Jim Cramer says"," 6:53  PM ET Thu, 26 March 2020","Gaming and data demands offset weakness in other areas. Those two categories could be a boon for industry peers, the ""Mad Money"" host said."
Jim Cramer says Thursday's rally delivered 'hope': 'We know that a victory is possible'," 6:41  PM ET Thu, 26 March 2020","""I know there's going to be bad news, but at least we're finally fighting back,"" Cramer said after a massive stimulus bill made progress in Congress."
'I'm a believer in my company' — Lowe's CEO says that's why he's personally buying shares,"10:49  AM ET Thu, 26 March 2020","""We think that we will create a great value and we'll create a great opportunity for shareholder value over the long term,"" Lowe's CEO Marvin Ellison told CNBC."
Cramer's lightning round: 'You want to buy Clorox right here'," 7:26  PM ET Wed, 25 March 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Jim Cramer says these two tech stocks will thrive 'when things get back to normal'," 8:15  PM ET Wed, 25 March 2020","Apple and Facebook are ""companies that are currently stinking up the joint, but should thrive when things get back to normal,"" the ""Mad Money"" host said."
"Wall Street 'has faith' in stimulus plan, but 'total lockdown' still needed, Jim Cramer says"," 6:29  PM ET Wed, 25 March 2020","The $2 trillion legislation ""won't create demand in a time when so many consumers are fearful, and it will not defeat the coronavirus,"" he said."
Cramer's lightning round: You buy Johnson & Johnson," 8:26  PM ET Tue, 24 March 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
"Coronavirus 'supply shock' caused a delay in 5G rollout and guidance haircut, Skyworks Solutions CEO says"," 9:09  PM ET Tue, 24 March 2020","The 5G rollout is experiencing a ""pause"" and demand for the technologies will return and be met by 2021, Skyworks Solutions CEO Liam Griffin said."
"Tuesday's 'unsustainable rally' is far from what investors want to see, Jim Cramer says"," 7:44  PM ET Tue, 24 March 2020","The ""Mad Money"" host said Tuesday's rally was a ""machine-driven"" move."
"Charts show investors shouldn't be 'too exuberant' after Tuesday's rally, Jim Cramer says"," 8:26  PM ET Tue, 24 March 2020","""We still have a lot more bad news to process"" on the coronavirus front, the ""Mad Money"" host said."
"More falls ahead, S&P 500 to test the bottom at around 2200: Strategist"," 3:42  AM ET Tue, 24 March 2020","On Feb. 24, Jonathan Pain of The Pain Report predicted a 20% decline in the U.S. equity markets in a month. He now still sees more downside in the markets and expects the U.S. economy to contract in excess of 5% in the second quarter."
,,
"Ventas withdraws 2020 guidance, declares quarterly dividend in face of coronavirus uncertainty"," 9:07  PM ET Mon, 23 March 2020","Ventas CEO Debra Cafaro cites a ""strong financial condition,"" importance of the dividend in its board's decision to declare its normal dividend, despite challenges during coronavirus outbreak."
Teladoc Health CEO: The health-care system is on the 'verge of a new era' for virtual care," 7:13  PM ET Mon, 23 March 2020","""We're happy to work ... to try to meet the incredible increase in demand"" during the coronavirus crisis, Teladoc Health CEO Jason Gorevic said."
"Business bailouts are not enough to stop the economic fallout of coronavirus, Jim Cramer says"," 6:46  PM ET Mon, 23 March 2020","The ""Mad Money"" host said the end to the economic damage from COVID-19 will arrive when the U.S. has adequate testing capacity and medical supplies. ""Legislation isn't enough,"" he said."
Stocks have 'at least 10% to 15%' further to fall: Scaramucci," 4:58  AM ET Mon, 23 March 2020","The U.S. is in a ""protracted bear market"" and stock prices could fall further, according to Anthony Scaramucci, an investor and former White House communications director."
NYSE readies itself for first ever all-electronic trading day," 1:34  PM ET Mon, 23 March 2020","With the floor of the New York Stock Exchange closed as of Monday, trading will resume electronically."
Crowdstrike reports a 'real uptick in phishing campaigns' during coronavirus crisis," 9:01  PM ET Fri, 20 March 2020","""When there's chaos and there's this fear in the street that's when the adversary tends to strike hardest,"" Crowdstrike CEO George Kurtz said."
,,
AMN Healthcare recent acquisitions come just in time to fight coronavirus outbreak," 8:51  PM ET Fri, 20 March 2020","AMN Healthcare CEO Services CEO Susan Salka broke down the hospital staffing company's acquisitions of Stratus Video and b4health, and how they are being applied to fight COVID-19."
Cramer's lightning round: I would start a position in Abbott Labs," 8:11  PM ET Fri, 20 March 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's week ahead: We're fighting a 'two-front war' with coronavirus," 7:48  PM ET Fri, 20 March 2020","""Mad Money"" host Jim Cramer gave a preview of what he'll be keeping his eye on next week as the coronavirus fight heats up and the oil price war drags on."
"Coronavirus the worst crisis to hit markets since Great Depression, strategist says"," 4:38  AM ET Fri, 20 March 2020","Stephen Isaacs, chairman of the investment committee at Alvine Capital Management, shares his outlook for markets amid the coronavirus pandemic."
"Web traffic spiked 20% in one week amid coronavirus shutdown, Verizon CEO says","10:31  PM ET Thu, 19 March 2020","""In less than a week, we have transformed this company dramatically,"" CEO Hans Vestberg said."
Cramer's lightning round: Snap stock makes me look 'like a complete bozo'," 7:18  PM ET Thu, 19 March 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
"Thursday's 'snapback' gives investors 'a glimpse into the future,' Jim Cramer says"," 7:10  PM ET Thu, 19 March 2020","Jim Cramer said, ""It's too late to sell. At this point, if you want out, you've got to wait for more of a bounce."""
Jim Cramer says these companies can thrive during and after coronavirus pandemic," 7:17  PM ET Thu, 19 March 2020","Investors must ""keep our eyes on the prize, and that prize is what works once the smoke clears,"" the ""Mad Money"" host said."
Hormel CEO says 'return to normalcy' in China shows businesses can rebound from coronavirus," 8:23  PM ET Wed, 18 March 2020","""There's actually a return to normalcy and so our plants are fully staffed,"" Hormel CEO Jim Snee said about business in China."
